feature,mean_abs_shap
possessions_max,0.2933521510064188
distance_max,0.21904715078610423
age_mean,0.08509786960340097
minutes_max,0.0843436136341226
wingspan_min,0.08065816091385686
height_wo_shoes_mean,0.07319765145951605
minutes_total,0.07101534596165171
standing_reach_min,0.06743780153183015
weight_max,0.06465302243508715
usagepercentage_max,0.05777437095242269
hand_length_mean,0.05525624944565018
speed_mean,0.04912478766459511
height_wo_shoes_max,0.04335817209423856
usagepercentage_min,0.043165149360035994
distance_std,0.03822685815681657
speed_std,0.034897823256955736
hand_width_mean,0.034473066976622106
wingspan_max,0.033742364207202405
wingspan_mean,0.03327198215431581
minutes_min,0.030180283842384147
weight_min,0.028755348207722697
body_fat_pct_mean,0.028647354238431268
pace_std,0.028525001867642074
standing_reach_max,0.027579385799009083
weight_mean,0.026901545968995234
body_fat_pct_std,0.026720384370233656
height_wo_shoes_min,0.025219726685372777
standing_reach_mean,0.024601181085368896
pace_mean,0.02422417701194663
speed_max,0.023318366068537738
body_fat_pct_max,0.02213908758730135
usagepercentage_std,0.02197577498520653
hand_width_max,0.02097741491023229
possessions_min,0.018959237662880178
usagepercentage_mean,0.018868503965792014
distance_mean,0.01793098077829139
hand_length_min,0.01743758411031225
possessions_std,0.016174564462900012
distance_min,0.01606953440819656
hand_length_max,0.015362628421653084
hand_width_min,0.01201044211393531
body_fat_pct_min,0.011769330767878944
pace_max,0.011615567442335002
pace_min,0.00979242973432594
back_to_back_count,0.008283906684658983
games_played_count,0.008231701165968625
speed_min,0.007972738431144502
minutes_mean,0.006468012735092298
age_max,0.0058620199809132426
possessions_mean,0.0025509257412387487
age_std,0.001686887451231011
age_min,0.0013088852238563623
weight_std,0.0011930899374438851
minutes_std,0.0002530146475596345
hand_width_std,0.0
height_wo_shoes_std,0.0
wingspan_std,0.0
standing_reach_std,0.0
hand_length_std,0.0
