forward_day,test_pos_rate,lr_auc,gb_auc,xgb_auc
1,0.002518186905428092,0.4800062334424186,0.5985818918497741,0.5434003428393329
2,0.006994963626189144,0.6110002817695126,0.5443505212735982,0.5188391096083405
3,0.011471740346950195,0.5646759128219643,0.5088572552863938,0.5426950080426363
4,0.013989927252378288,0.589211123723042,0.5661804767309876,0.5081838819523269
5,0.019306099608282036,0.5978043788376852,0.6103599412847073,0.5725733424300689
6,0.023223279238947958,0.5881975337615142,0.6365922009435623,0.5987565271110221
7,0.026021264689423614,0.5916017211714594,0.6199738673536526,0.6304207479620552
8,0.030498041410184668,0.5908336312006036,0.6218541906615301,0.6097726941763639
9,0.032456631225517625,0.5874110009772442,0.6467823238467522,0.6151602481003571
10,0.03497481813094572,0.5987521020585677,0.6067405044940563,0.602219773847492
11,0.03777280358142138,0.5837312741645396,0.6361743831647872,0.6251278903212605
12,0.04057078903189704,0.5907100692873161,0.6008075140032783,0.5989601874478334
13,0.04336877448237269,0.5835586711828586,0.5630433346856749,0.6115030805083546
14,0.04476776720761052,0.5953683362624488,0.6146107937902754,0.6615883128295255
