forward_day,test_pos_rate,lr_auc,gb_auc
1,0.002518186905428092,0.3932055477637525,0.5039114851176563
2,0.006994963626189144,0.5754071569456185,0.5152211890673429
3,0.011471740346950195,0.5368200865705233,0.5644170296783635
4,0.013989927252378288,0.555800227014756,0.5392536889897843
5,0.019306099608282036,0.5512001488556721,0.5978953461928094
6,0.023223279238947958,0.5539304165962043,0.6419674688441535
7,0.026021264689423614,0.5532027936602076,0.6348101676381462
8,0.030498041410184668,0.550734077339582,0.6307306353177913
9,0.032456631225517625,0.5530503978779842,0.6488165872240281
10,0.03497481813094572,0.5660887213685126,0.6286100318933024
11,0.03777280358142138,0.5586486166305882,0.6093222620701538
12,0.04057078903189704,0.5614102834846795,0.6230086181756016
13,0.04336877448237269,0.5556406796931757,0.582339676758909
14,0.04476776720761052,0.5670492823667252,0.6063561804335091
