forward_day,test_pos_rate,lr_auc,gb_auc
1,0.002518186905428092,0.39261337073398783,0.5039114851176563
2,0.006994963626189144,0.5755649478726401,0.5152211890673429
3,0.011471740346950195,0.5341829302810436,0.5644170296783635
4,0.013989927252378288,0.5549545970488081,0.5392536889897843
5,0.019306099608282036,0.5508693584734025,0.5978953461928094
6,0.023223279238947958,0.5546241108806467,0.6419674688441535
7,0.026021264689423614,0.5531997046949183,0.6348101676381462
8,0.030498041410184668,0.550723486503303,0.6307306353177913
9,0.032456631225517625,0.5530528908478092,0.6488165872240281
10,0.03497481813094572,0.5677796462742825,0.6286100318933024
11,0.03777280358142138,0.5585215340376725,0.6093222620701538
12,0.04057078903189704,0.56091551774419,0.6230086181756016
13,0.04336877448237269,0.5556086008925454,0.582339676758909
14,0.04476776720761052,0.5668076303456356,0.6063561804335091
