id,full_name,avg_speed_per_game,avg_distance_per_game
201936,Tyreke Evans,2.66,1.35
201937,Ricky Rubio,4.2,2.13
201939,Stephen Curry,4.16,2.37
201941,Jordan Hill,3.66,1.25
201942,DeMar DeRozan,3.93,2.35
201943,Brandon Jennings,3.81,1.14
201945,Gerald Henderson,4.25,1.4
201946,Tyler Hansbrough,2.18,0.29
201949,James Johnson,3.21,0.87
201950,Jrue Holiday,3.52,1.65
201951,Ty Lawson,3.64,1.29
201952,Jeff Teague,4.02,1.9
201954,Darren Collison,4.03,2.0
201956,Omri Casspi,3.82,1.73
201959,Taj Gibson,3.69,1.62
201960,DeMarre Carroll,2.92,1.46
201961,Wayne Ellington,4.08,1.44
201962,Toney Douglas,3.76,1.28
201965,Jeff Ayres,2.75,0.29
201967,Dante Cunningham,4.47,1.82
201971,DeJuan Blair,2.18,0.28
201973,Jonas Jerebko,4.27,1.08
201975,Jodie Meeks,1.53,0.36
201976,Patrick Beverley,4.3,2.05
201977,Marcus Thornton,3.49,1.04
201978,Chase Budinger,3.54,0.83
201980,Danny Green,4.44,1.92
201988,Patty Mills,4.73,1.61
202066,Garrett Temple,4.3,1.76
202083,Wesley Matthews,4.09,2.3
202087,Alonzo Gee,4.09,1.51
202322,John Wall,4.01,2.4
202323,Evan Turner,4.02,1.88
202324,Derrick Favors,3.11,1.66
202325,Wesley Johnson,4.24,1.47
202326,DeMarcus Cousins,3.14,1.81
202328,Greg Monroe,3.8,1.85
202329,Al-Farouq Aminu,4.4,2.08
202330,Gordon Hayward,4.17,2.5
202331,Paul George,4.23,2.45
202332,Cole Aldrich,3.11,0.68
202334,Ed Davis,4.2,1.45
202335,Patrick Patterson,3.89,1.64
202337,Luke Babbitt,2.5,0.77
202338,Kevin Seraphin,2.52,0.46
202339,Eric Bledsoe,4.31,2.44
202340,Avery Bradley,4.14,2.3
202341,James Anderson,2.68,0.64
202343,Elliot Williams,4.49,0.68
202344,Trevor Booker,4.19,1.44
202347,Quincy Pondexter,0.0,0.0
202349,Greivis Vasquez,4.04,1.34
202353,Tibor Pleiss,1.35,0.16
202355,Hassan Whiteside,3.78,1.81
202357,Nemanja Bjelica,3.31,0.98
202362,Lance Stephenson,3.45,1.13
202379,Jeremy Evans,2.42,0.35
202388,Donald Sloan,3.38,1.19
202389,Timofey Mozgov,4.13,1.19
202390,Gary Neal,3.34,1.12
202391,Jeremy Lin,4.11,1.79
202397,Ish Smith,4.53,2.19
202407,Elijah Millsap,2.58,0.38
202498,Lance Thomas,3.76,1.39
202681,Kyrie Irving,4.02,2.1
202682,Derrick Williams,4.01,1.19
202683,Enes Freedom,4.33,1.51
202684,Tristan Thompson,4.31,1.98
202685,Jonas Valančiūnas,3.75,1.61
202687,Bismack Biyombo,4.04,1.49
202688,Brandon Knight,2.94,1.76
202689,Kemba Walker,4.14,2.45
202690,Jimmer Fredette,2.25,0.12
202691,Klay Thompson,4.24,2.35
202692,Alec Burks,4.1,1.76
202693,Markieff Morris,3.24,1.36
202694,Marcus Morris Sr.,4.06,2.41
202695,Kawhi Leonard,4.07,2.23
202696,Nikola Vučević,3.89,2.02
202697,Iman Shumpert,3.86,1.56
202699,Tobias Harris,4.23,2.32
202700,Donatas Motiejunas,3.71,0.91
202702,Kenneth Faried,3.53,1.48
202703,Nikola Mirotic,3.9,1.62
202704,Reggie Jackson,4.06,2.07
202706,Jordan Hamilton,4.37,2.01
202708,Norris Cole,2.55,1.13
202709,Cory Joseph,4.31,1.83
202710,Jimmy Butler III,3.53,2.17
202711,Bojan Bogdanovic,4.08,1.81
202712,Justin Harper,2.65,0.31
202713,Kyle Singler,3.83,0.92
202714,Shelvin Mack,2.88,0.98
202718,Chandler Parsons,4.16,2.02
202720,Jon Leuer,3.67,1.13
202726,Andrew Goudelock,2.14,0.23
202730,Lavoy Allen,3.99,1.34
202734,E'Twaun Moore,3.24,1.16
202738,Isaiah Thomas,4.19,2.24
202962,Greg Smith,3.25,0.57
203076,Anthony Davis,3.34,1.97
203077,Michael Kidd-Gilchrist,4.49,2.17
203078,Bradley Beal,4.05,2.09
203079,Dion Waiters,3.98,1.82
203080,Thomas Robinson,3.71,0.8
203081,Damian Lillard,4.2,2.49
203082,Terrence Ross,4.1,1.64
203083,Andre Drummond,3.89,2.13
203084,Harrison Barnes,4.37,2.25
203085,Austin Rivers,4.14,1.5
203086,Meyers Leonard,3.72,1.35
203087,Jeremy Lamb,3.6,1.11
203088,Kendall Marshall,1.91,0.42
203089,John Henson,2.93,0.82
203090,Maurice Harkless,4.21,1.32
203092,Tyler Zeller,3.11,0.6
203093,Terrence Jones,3.16,1.09
203094,Andrew Nicholson,2.74,0.68
203095,Evan Fournier,4.44,2.39
203096,Jared Sullinger,3.85,1.52
203098,John Jenkins,2.91,0.55
203099,Jared Cunningham,3.11,0.52
203100,Tony Wroten,3.28,0.98
203101,Miles Plumlee,3.25,0.78
203105,Festus Ezeli,3.89,1.08
203109,Jae Crowder,4.06,2.13
203110,Draymond Green,3.87,2.24
203111,Orlando Johnson,3.37,0.82
203112,Quincy Acy,3.08,0.76
203114,Khris Middleton,4.0,2.4
203115,Will Barton,4.23,2.02
203118,Mike Scott,4.15,1.06
